PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
MAR;mil m3;2017;REGIÃO SUDESTE;SÃO PAULO;563953,9894;515698,0441;569271,055;561189,4562;596906,5005;571915,8185;612124,1382;610943,0755;582681,4311;564395,6384;527649,4961;609533,0049;6886261,648
MAR;mil m3;2017;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR ;mil m3;2018;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR;mil m3;2018;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR;mil m3;2018;REGIÃO NORDESTE;CEARÁ;2193,75266;2355,26697;2580,58037;2698,73149;3051,62829;3001,18961;3074,10434;3553,33727;3494,98926;3539,64117;3177,81234;2699,93558;35420,96935
MAR;mil m3;2018;REGIÃO NORDESTE;RIO GRANDE DO NORTE;12322,96207;12205,46677;13312,34243;13768,80026;12745,71461;12154,06871;11857,15377;11617,65858;10872,56411;11427,17339;11085,18062;11286,06588;144655,1512
MAR;mil m3;2018;REGIÃO NORDESTE;ALAGOAS;5564,04699;5277,89914;2947,71676;2348,59822;6632,94703;5357,19065;6612,49173;5181,68647;5115,48861;5656,67328;5413,4089;5367,16824;61475,31602
MAR;mil m3;2018;REGIÃO NORDESTE;SERGIPE;72870,61446;60755,00311;61159,03676;45521,05304;63321,70874;63216,38884;64388,72711;63851,97274;62426,29676;66377,65739;63282,05383;66712,98271;753883,4955
MAR;mil m3;2018;REGIÃO NORDESTE;BAHIA;137665,3693;133669,5573;146676,9498;131669,1555;160176,3321;150925,2232;161453,8704;159879,488;160096,5255;160598,5645;157374,0566;127966,7494;1788151,842
MAR;mil m3;2018;REGIÃO SUDESTE;ESPÍRITO SANTO;303112,3316;258153,5912;263951,5331;273043,5521;309739,8223;277828,8464;294855,5495;312075,566;262698,8226;303067,5401;284323,59;288902,1363;3431752,881
MAR;mil m3;2018;REGIÃO SUDESTE;RIO DE JANEIRO;1677704,001;1537451,862;1693701,569;1725212,631;1775286,457;1684281,775;1748697,472;1544374,816;1601157,736;1702383,672;1660997,113;1846328,742;20197577,85
MAR;mil m3;2018;REGIÃO SUDESTE;SÃO PAULO;605404,3567;557113,8866;582786,2934;509604,0513;552940,0866;519604,7085;500466,9357;382765,8282;484457,8505;589938,1743;545621,8329;600304,0663;6431008,071
MAR;mil m3;2018;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;;0
MAR;mil m3;2019;REGIAO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR;mil m3;2019;REGIAO NORDESTE;MARANHAO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR;mil m3;2019;REGIAO NORDESTE;CEARA;1968,38567;1705,14306;2187,92162;2095,45536;2210,32128;2218,55896;2766,68581;2823,81012;2484,2222;2510,8953;2483,91037;2679,91046;28135,22021
MAR;mil m3;2019;REGIAO NORDESTE;RIO GRANDE DO NORTE;11792,07841;10455,66209;12200,42635;10187,88103;12817,30601;13049,75587;12705,18051;12079,7857;7545,11208;11675,54959;10934,93296;10740,96704;136184,6376
MAR;mil m3;2019;REGIAO NORDESTE;ALAGOAS;5557,15311;2842,85982;3754,56192;573,05326;0;0;0;0;0;0;0;0;12727,62811
MAR;mil m3;2019;REGIAO NORDESTE;SERGIPE;59946,77809;46607,8869;54533,6094;52774,80544;54262,33912;56104,69676;55006,52999;33307,93059;58058,31062;56901,68822;38000,16644;39508,92922;605013,6708
MAR;mil m3;2019;REGIAO NORDESTE;BAHIA;79592,24872;127237,9163;88608,12017;91329,70026;119327,079;46363,40329;72772,1742;141866,4092;138334,5286;141709,4499;136292,2221;140208,2832;1323641,535
MAR;mil m3;2019;REGIAO SUDESTE;ESPIRITO SANTO;277050,0096;181658,5265;238280,2216;218691,1015;218677,3802;219040,1483;199877,9299;215295,295;221351,5339;209991,022;228872,0325;210868,2564;2639653,457
MAR;mil m3;2019;REGIAO SUDESTE;RIO DE JANEIRO;1880044,54;1645788,136;1865603,275;1898607,115;2068044,63;1795269,654;2181452,223;2368777,952;2094636,685;2272681,563;2393620,212;2521667,884;24986193,87
MAR;mil m3;2019;REGIAO SUDESTE;SAO PAULO;563327,2264;512912,5377;582080,3808;541169,0984;588834,3269;562206,3742;567300,9304;576949,5796;569968,9582;578403,8674;500477,8883;550557,2762;6694188,444
MAR;mil m3;2019;REGIAO SUL;PARANA;0;0;0;0;0;0;0;0;0;0;0;0;0
