Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-84-AL,Terra,Não Informado,"110,4",0,"51,0289",0,"42,8",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-86D-AL,Terra,Não Informado,"317,9",0,"477,0023",0,"3,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-88D-AL,Terra,Não Informado,"280,9",0,"582,465",0,"358,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-89-AL,Terra,Não Informado,"266,6",0,"1281,244",0,"685,7",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-93-AL,Terra,Não Informado,"544,1",0,"453,7317",0,"54,3",,,,,,,,
1991,01/1991,Alagoas,Alagoas,JEQUIÁ,3-JA-2-AL,Terra,Não Informado,62,0,5,0,"37,3",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,1-PIR-1-AL,Terra,Não Informado,0,0,0,3818,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,3-PIR-13-AL,Terra,Não Informado,0,0,1040,0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,3-PIR-2-AL,Terra,Não Informado,"220,4",0,"66,878",0,"103,3",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,3-PIR-3-AL,Terra,Não Informado,"235,7",0,5599,0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,3-PIR-49-AL,Terra,Não Informado,"211,8",0,874,0,"1906,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,3-PIR-5-AL,Terra,Não Informado,"336,6",0,"68,1025",0,"6,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,3-PIR-52-AL,Terra,Não Informado,"254,5",0,"464,8901",0,"9,5",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,4-PIR-4-AL,Terra,Não Informado,"1237,6",0,"603,9764",0,"319,6",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-10-AL,Terra,Não Informado,"85,3",0,"10,4214",0,"6,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-100-AL,Terra,Não Informado,"84,9",0,"8,4732",0,"37,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-101-AL,Terra,Não Informado,"115,1",0,"10,3483",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-102-AL,Terra,Não Informado,"408,8",0,"32,6798",0,"15,7",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-104-AL,Terra,Não Informado,97,0,"17,4294",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-108-AL,Terra,Não Informado,"345,6",0,"24,2964",0,"46,5",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-11-AL,Terra,Não Informado,0,0,0,1265,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-112-AL,Terra,Não Informado,"233,5",0,"563,7915",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-114-AL,Terra,Não Informado,"51,3",0,"35,0698",0,"2,9",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-118D-AL,Terra,Não Informado,"416,8",0,"41,699",0,"179,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-119-AL,Terra,Não Informado,"290,6",0,"29,0489",0,"3,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-120-AL,Terra,Não Informado,"469,4",0,"357,3911",0,"18,7",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-126-AL,Terra,Não Informado,"142,3",0,"7,1111",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-128-AL,Terra,Não Informado,"241,9",0,"29,0489",0,"12,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-129-AL,Terra,Não Informado,61,0,"6,0517",0,92,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-132D-AL,Terra,Não Informado,"457,2",0,"71,7354",0,"18,6",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-133-AL,Terra,Não Informado,"886,2",0,"115,5166",0,"290,6",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-136D-AL,Terra,Não Informado,"423,5",0,"75,4061",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-146-AL,Terra,Não Informado,"606,1",0,"78,6735",0,"52,6",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-15-AL,Terra,Não Informado,"1065,4",0,"110,7224",0,"0,6",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-18A-AL,Terra,Não Informado,"293,8",0,"44,6141",0,"1175,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-23-AL,Terra,Não Informado,"974,6",0,"694,7085",0,"43,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-24-AL,Terra,Não Informado,"594,1",0,"154,2011",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-26-AL,Terra,Não Informado,"54,2",0,"36,983",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-28-AL,Terra,Não Informado,"245,1",0,"14,7057",0,"300,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-33-AL,Terra,Não Informado,1012,0,"199,5083",0,"241,8",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-37-AL,Terra,Não Informado,"95,3",0,"19,047",0,"113,7",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-40-AL,Terra,Não Informado,"82,4",0,"11,9377",0,"197,5",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-41-AL,Terra,Não Informado,"215,3",0,"21,7183",0,"3,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-42-AL,Terra,Não Informado,"354,2",0,"151,5262",0,"354,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-53-AL,Terra,Não Informado,"203,5",0,"30,6766",0,47,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-55-AL,Terra,Não Informado,"166,6",0,"33,2848",0,"12,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-61-AL,Terra,Não Informado,"1090,2",0,"200,9699",0,"93,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-62-AL,Terra,Não Informado,"169,4",0,"67,3087",0,"15,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-66-AL,Terra,Não Informado,"620,8",0,"254,3288",0,"700,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-69-AL,Terra,Não Informado,"307,3",0,"474,4355",0,"6,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-75-AL,Terra,Não Informado,"589,7",0,"152,1912",0,"1,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-76-AL,Terra,Não Informado,"1793,2",0,"43,2723",0,"629,9",,,,,,,,
